PostId,PostTypeId,EventId,Event,UserId,CreationDate
43798210,1,144678096,InitialBody,508343,"2017-05-05 06:43:34"
43798210,1,144678097,InitialTitle,508343,"2017-05-05 06:43:34"
43798210,1,144678427,TitleEdit,508343,"2017-05-05 06:49:00"
43798210,1,144678426,BodyEdit,508343,"2017-05-05 06:49:00"
43798210,1,74636647,Comment,468725,"2017-05-05 06:49:52"
43798432,2,144678969,InitialBody,4756309,"2017-05-05 06:57:23"
43798210,1,74637027,Comment,1540468,"2017-05-05 07:01:40"
43798432,2,74637144,Comment,225186,"2017-05-05 07:06:09"
43798210,1,74637155,Comment,1248008,"2017-05-05 07:06:37"
43798620,2,144679741,InitialBody,468725,"2017-05-05 07:06:59"
43798432,2,74637241,Comment,468725,"2017-05-05 07:08:53"
43798432,2,74637260,Comment,4756309,"2017-05-05 07:09:25"
43798800,2,144680382,InitialBody,3309790,"2017-05-05 07:17:20"
43798620,2,144680393,BodyEdit,468725,"2017-05-05 07:17:23"
43798620,2,144680759,BodyEdit,468725,"2017-05-05 07:23:00"
43798800,2,144680961,BodyEdit,3309790,"2017-05-05 07:25:10"
43798620,2,144681270,BodyEdit,468725,"2017-05-05 07:30:04"
43798210,1,144683286,TitleEdit,4850040,"2017-05-05 07:59:16"
43798620,2,144686208,BodyEdit,468725,"2017-05-05 08:40:40"
43798210,1,74640358,Comment,147192,"2017-05-05 08:42:10"
43798620,2,144686802,BodyEdit,468725,"2017-05-05 08:48:33"
43798432,2,74641473,Comment,2445184,"2017-05-05 09:12:47"
43798800,2,74642886,Comment,4672588,"2017-05-05 09:50:08"
43798800,2,144696111,BodyEdit,3309790,"2017-05-05 10:45:22"
43798800,2,74645027,Comment,3309790,"2017-05-05 10:45:31"
43798432,2,74645269,Comment,3093378,"2017-05-05 10:52:54"
43798432,2,74646554,Comment,2445184,"2017-05-05 11:27:59"
43798432,2,74646807,Comment,3093378,"2017-05-05 11:34:41"
43798210,1,74651986,Comment,1248008,"2017-05-05 13:42:47"
43798210,1,74657499,Comment,147192,"2017-05-05 15:55:58"
43798210,1,74662371,Comment,388520,"2017-05-05 18:25:07"
43798800,2,144735961,BodyEdit,2756719,"2017-05-05 20:23:56"
43798620,2,144744305,BodyEdit,468725,"2017-05-06 00:11:56"
43798210,1,74681554,Comment,147192,"2017-05-06 14:36:15"
43798210,1,74681918,Comment,388520,"2017-05-06 14:53:23"
43825509,2,144797505,InitialBody,6870253,"2017-05-06 21:21:47"
43798620,2,144907341,BodyEdit,468725,"2017-05-08 16:53:58"
