PostId,PostTypeId,EventId,Event,UserId,CreationDate,Rationale (CT),Rationale (SB)
7953840,1,17689751,InitialTitle,1018387,10/31/2011 12:41,N/A,N/A
7953840,1,17689750,InitialBody,1018387,10/31/2011 12:41,N/A,N/A
7953840,1,17691392,TitleEdit,1018387,10/31/2011 13:43,grammar fix,
7953840,1,17691597,TitleEdit,648313,10/31/2011 13:52,"removed ""please help"", added space",
7953840,1,17691596,BodyEdit,648313,10/31/2011 13:52,fixed formatting,
7957863,2,17699347,InitialBody,797390,10/31/2011 18:15,N/A,N/A
7957863,2,9736956,Comment,1018387,11/1/2011 8:46,explanation from question asker why answer might not work,
7953840,1,17714971,BodyEdit,1018387,11/1/2011 9:06,minor change to code,
7957863,2,9739994,Comment,797390,11/1/2011 12:35,response by answer provider to question in comment from question asker,
7953840,1,17720649,BodyEdit,1018387,11/1/2011 12:48,add more detail,
7953840,1,17720650,TitleEdit,1018387,11/1/2011 12:48,add specific question to title,
7957863,2,9740474,Comment,1018387,11/1/2011 13:06,response by question asker to comment from answer provider,
7957863,2,9778635,Comment,1018387,11/3/2011 11:20,question asker says they fixed the problem,
7957863,2,9788068,Comment,797390,11/3/2011 19:13,answer provider asks for details,
7957863,2,9879225,Comment,1018387,11/9/2011 11:27,question asker provides details,
7953840,1,146307259,BodyEdit,-1,5/23/2017 10:34,link formatting,
,,,,,,,
,,,,,,2 title edits and one post edit close to each other,
,,,,,,comment on answer followed by edit to question (twice),
