PostId,PostTypeId,EventId,Event,UserId,CreationDate
32244415,1,98329864,InitialBody,1617002,"2015-08-27 08:33:56"
32244415,1,98329865,InitialTitle,1617002,"2015-08-27 08:33:56"
32244415,1,52369919,Comment,74015,"2015-08-27 08:40:14"
32244415,1,52369992,Comment,4019118,"2015-08-27 08:41:59"
32244415,1,52370027,Comment,1617002,"2015-08-27 08:43:00"
32244415,1,52370072,Comment,4019118,"2015-08-27 08:43:57"
32244415,1,52370337,Comment,1617002,"2015-08-27 08:50:49"
32244806,2,98331385,InitialBody,717732,"2015-08-27 08:53:21"
32244415,1,52370485,Comment,74015,"2015-08-27 08:54:38"
32244926,2,98331913,InitialBody,1807643,"2015-08-27 08:59:04"
32244415,1,52371129,Comment,1617002,"2015-08-27 09:10:42"
32244926,2,98333076,BodyEdit,1807643,"2015-08-27 09:14:08"
32244415,1,52372083,Comment,74015,"2015-08-27 09:35:28"
32245849,2,98335364,InitialBody,1617002,"2015-08-27 09:39:14"
