PostId,PostTypeId,EventId,Event,UserId,CreationDate
309424,1,491587,InitialTitle,16616,"2008-11-21 16:47:40"
309424,1,491589,InitialBody,16616,"2008-11-21 16:47:40"
309448,2,491664,InitialBody,21590,"2008-11-21 16:54:21"
309448,2,491665,BodyEdit,21590,"2008-11-21 17:01:14"
309424,1,152598,Comment,12943,"2008-11-21 17:16:32"
309718,2,511840,InitialBody,4100,"2008-11-21 18:34:11"
309718,2,511841,BodyEdit,4725,"2008-11-26 13:10:53"
350723,2,563978,InitialBody,31892,"2008-12-08 20:13:42"
978162,2,1897913,InitialBody,57541,"2009-06-10 21:07:12"
309718,2,4578740,BodyEdit,62571,"2010-02-14 02:34:29"
2857414,2,5884678,InitialBody,344029,"2010-05-18 12:57:53"
2857414,2,5884836,BodyEdit,344029,"2010-05-18 13:05:33"
3238954,2,6719354,InitialBody,151614,"2010-07-13 15:56:24"
309424,1,3354155,Comment,214525,"2010-07-14 13:32:19"
309424,1,7300080,TitleEdit,5975,"2010-08-17 09:25:39"
309424,1,7300079,BodyEdit,5975,"2010-08-17 09:25:39"
3502497,2,7303308,InitialBody,421788,"2010-08-17 12:45:06"
309424,1,4886937,Comment,233014,"2010-12-17 13:50:12"
309448,2,10127665,BodyEdit,21590,"2011-01-24 14:20:09"
350723,2,5438272,Comment,438144,"2011-02-03 16:07:38"
350723,2,5443254,Comment,52993,"2011-02-03 21:54:26"
350723,2,5453629,Comment,438144,"2011-02-04 15:56:02"
5445161,2,11662441,InitialBody,43151,"2011-03-26 20:40:26"
3238954,2,12120360,BodyEdit,416243,"2011-04-12 19:32:31"
3238954,2,6439091,Comment,151614,"2011-04-13 09:41:11"
6938341,2,15202669,InitialBody,559185,"2011-08-04 08:29:44"
350723,2,15797525,BodyEdit,165495,"2011-08-25 04:22:50"
3238954,2,8761363,Comment,790020,"2011-09-01 22:10:39"
3502497,2,9331251,Comment,38104,"2011-10-06 16:09:29"
7743991,2,17176957,InitialBody,370547,"2011-10-12 17:23:01"
7743991,2,17177695,BodyEdit,370547,"2011-10-12 17:53:57"
7743991,2,17178039,BodyEdit,370547,"2011-10-12 18:06:50"
7743991,2,9573048,Comment,621438,"2011-10-21 13:32:40"
309424,1,18158349,BodyEdit,435093,"2011-11-15 20:55:32"
309424,1,18158350,TitleEdit,435093,"2011-11-15 20:55:32"
309718,2,10212509,Comment,404192,"2011-11-28 03:20:06"
6938341,2,18829777,BodyEdit,633239,"2011-12-06 14:50:49"
309718,2,10449727,Comment,4100,"2011-12-09 23:11:02"
309718,2,11183057,Comment,552792,"2012-01-20 01:05:48"
309718,2,11183344,Comment,552792,"2012-01-20 01:35:57"
2857414,2,11260665,Comment,460306,"2012-01-24 12:27:10"
6938341,2,20742433,BodyEdit,707111,"2012-02-05 16:55:24"
309718,2,21122803,BodyEdit,47773,"2012-02-15 23:55:58"
5445161,2,21230790,BodyEdit,43151,"2012-02-19 05:49:59"
5445161,2,21289331,BodyEdit,43151,"2012-02-21 00:14:19"
9597413,2,21855462,InitialBody,828757,"2012-03-07 07:32:10"
350723,2,12227893,Comment,333930,"2012-03-09 12:04:03"
9949592,2,22765355,InitialBody,458244,"2012-03-30 19:52:32"
5445161,2,22770107,BodyEdit,43151,"2012-03-30 23:23:12"
6938341,2,13177755,Comment,4100,"2012-04-20 18:36:55"
309718,2,23522151,BodyEdit,4100,"2012-04-20 18:38:58"
5445161,2,13192815,Comment,NULL,"2012-04-21 17:07:21"
7743991,2,23555355,BodyEdit,370547,"2012-04-22 02:30:13"
10505933,2,24187645,InitialBody,348189,"2012-05-08 20:24:12"
309718,2,13590404,Comment,853599,"2012-05-09 06:36:57"
309718,2,13592533,Comment,552792,"2012-05-09 08:23:32"
309718,2,13592873,Comment,853599,"2012-05-09 08:39:52"
309718,2,13889527,Comment,4100,"2012-05-22 09:16:38"
5445161,2,25270546,BodyEdit,43151,"2012-06-07 06:37:21"
3238954,2,14965452,Comment,212013,"2012-07-06 11:01:04"
309424,1,26807150,TitleEdit,170339,"2012-07-16 20:32:58"
309424,1,26807152,TitleEdit,102937,"2012-07-16 20:32:58"
11566262,2,26949860,InitialBody,772549,"2012-07-19 17:33:40"
11566262,2,15318282,Comment,674856,"2012-07-20 11:13:34"
11628754,2,27115991,InitialBody,1548325,"2012-07-24 10:19:20"
11628754,2,15400641,Comment,947357,"2012-07-24 10:26:08"
6938341,2,27390432,BodyEdit,559185,"2012-07-31 03:43:43"
309718,2,27709950,BodyEdit,-1,"2012-08-07 20:22:55"
3238954,2,27716471,BodyEdit,124257,"2012-08-08 00:45:50"
5445161,2,15814810,Comment,1245897,"2012-08-09 13:36:49"
3238954,2,28667529,BodyEdit,638225,"2012-08-31 14:15:17"
9949592,2,28833724,BodyEdit,-1,"2012-09-05 10:38:56"
6938341,2,16578682,Comment,469932,"2012-09-10 08:08:02"
9949592,2,29133595,BodyEdit,458244,"2012-09-12 18:31:12"
309718,2,30682615,BodyEdit,4100,"2012-10-18 22:46:13"
5445161,2,30827994,BodyEdit,43151,"2012-10-22 17:32:44"
5445161,2,31249705,BodyEdit,850830,"2012-11-01 06:20:38"
13195413,2,31312770,InitialBody,1794244,"2012-11-02 12:37:53"
13195413,2,17963120,Comment,421372,"2012-11-02 12:58:53"
13430647,2,31961069,InitialBody,1506477,"2012-11-17 12:39:06"
309718,2,31965962,BodyEdit,370191,"2012-11-17 16:08:28"
309718,2,31965965,BodyEdit,834063,"2012-11-17 16:08:28"
3502497,2,19520810,Comment,24874,"2013-01-01 03:42:41"
14107694,2,33852425,InitialBody,24874,"2013-01-01 03:43:47"
10505933,2,19906876,Comment,427225,"2013-01-14 19:30:26"
5445161,2,34610234,BodyEdit,43151,"2013-01-17 16:27:53"
3238954,2,35240437,BodyEdit,218258,"2013-01-30 16:35:55"
5445161,2,21303764,Comment,242042,"2013-02-28 12:13:33"
5445161,2,21337733,Comment,43151,"2013-03-01 09:18:42"
14107694,2,36845957,BodyEdit,24874,"2013-03-03 22:15:51"
15315403,2,37191697,InitialBody,903998,"2013-03-09 20:13:49"
11566262,2,22450251,Comment,48136,"2013-04-03 14:17:13"
10505933,2,22851706,Comment,153422,"2013-04-15 17:18:54"
5445161,2,39215507,BodyEdit,1292230,"2013-04-16 17:49:54"
16487716,2,40444043,InitialBody,2370932,"2013-05-10 17:25:16"
16487716,2,23806798,Comment,821436,"2013-05-15 15:23:32"
16839350,2,41423063,InitialBody,2435085,"2013-05-30 14:52:25"
14107694,2,24358453,Comment,1836528,"2013-06-02 13:50:51"
14107694,2,24380426,Comment,24874,"2013-06-03 11:37:34"
350723,2,41826048,BodyEdit,2175899,"2013-06-07 13:15:42"
5445161,2,24702804,Comment,573057,"2013-06-13 05:24:36"
14107694,2,25162283,Comment,541755,"2013-06-27 12:36:58"
5445161,2,25740360,Comment,1493269,"2013-07-16 07:59:37"
5445161,2,44935719,BodyEdit,43151,"2013-08-06 22:11:45"
3502497,2,26485958,Comment,282345,"2013-08-07 03:10:00"
10505933,2,45545815,BodyEdit,348189,"2013-08-18 10:47:58"
10505933,2,26847605,Comment,348189,"2013-08-18 10:50:07"
309448,2,45739972,BodyEdit,838023,"2013-08-21 23:39:23"
6938341,2,27166308,Comment,262852,"2013-08-28 06:52:41"
5445161,2,27194401,Comment,968244,"2013-08-28 19:54:52"
5445161,2,27199453,Comment,43151,"2013-08-28 23:13:20"
3238954,2,28164562,Comment,1313268,"2013-09-27 17:20:17"
15315403,2,29532479,Comment,NULL,"2013-11-08 10:27:29"
15315403,2,29544475,Comment,903998,"2013-11-08 16:19:44"
15315403,2,51062046,BodyEdit,903998,"2013-11-08 16:20:45"
20407168,2,52996593,InitialBody,428594,"2013-12-05 17:53:08"
7743991,2,53082367,BodyEdit,370547,"2013-12-06 18:55:44"
14107694,2,53131965,BodyEdit,24874,"2013-12-07 16:39:30"
350723,2,54015952,BodyEdit,3075488,"2013-12-19 17:51:29"
7743991,2,54016627,BodyEdit,3075488,"2013-12-19 18:03:52"
350723,2,31725375,Comment,NULL,"2014-01-13 12:35:27"
21163930,2,55787830,InitialBody,2217011,"2014-01-16 14:03:46"
21619906,2,57451225,InitialBody,2534090,"2014-02-07 05:17:11"
21619906,2,57451631,BodyEdit,2534090,"2014-02-07 05:25:59"
7743991,2,57647432,BodyEdit,1804251,"2014-02-10 08:06:55"
309448,2,32798304,Comment,1574153,"2014-02-11 05:39:38"
21619906,2,33186444,Comment,2470524,"2014-02-20 15:24:35"
21912248,2,58530221,InitialBody,2470524,"2014-02-20 15:28:59"
21915153,2,58540799,InitialBody,1055284,"2014-02-20 17:24:38"
21915153,2,58541661,BodyEdit,1055284,"2014-02-20 17:35:30"
21915153,2,58542110,BodyEdit,1055284,"2014-02-20 17:40:58"
21915153,2,58542576,BodyEdit,1055284,"2014-02-20 17:46:19"
21619906,2,58637114,BodyEdit,2534090,"2014-02-21 17:48:03"
5445161,2,33307299,Comment,850830,"2014-02-24 05:36:26"
16839350,2,34967643,Comment,1851302,"2014-04-07 11:34:26"
22960005,2,62463747,InitialBody,978136,"2014-04-09 10:37:52"
6938341,2,35415330,Comment,671543,"2014-04-18 18:05:10"
10505933,2,35415405,Comment,671543,"2014-04-18 18:07:13"
14107694,2,35415434,Comment,671543,"2014-04-18 18:07:54"
309718,2,35617129,Comment,4100,"2014-04-24 14:51:39"
16839350,2,35820615,Comment,85072,"2014-04-30 08:22:14"
23615823,2,64957752,InitialBody,262379,"2014-05-12 18:04:40"
24104048,2,66838391,InitialBody,980442,"2014-06-08 07:46:31"
24104048,2,66838585,BodyEdit,980442,"2014-06-08 07:54:31"
24104048,2,66838889,BodyEdit,980442,"2014-06-08 08:05:37"
24104048,2,69404783,BodyEdit,980442,"2014-07-15 20:24:49"
24810414,2,69565220,InitialBody,3040627,"2014-07-17 17:58:02"
24810414,2,38693783,Comment,1916917,"2014-07-23 09:13:37"
309448,2,39007189,Comment,767033,"2014-08-01 03:57:26"
10505933,2,70626316,BodyEdit,348189,"2014-08-01 23:03:16"
25103484,2,70678726,InitialBody,2420519,"2014-08-03 09:47:57"
14107694,2,39204486,Comment,2019710,"2014-08-07 09:29:00"
14107694,2,39210493,Comment,24874,"2014-08-07 12:16:28"
14107694,2,39213675,Comment,2019710,"2014-08-07 13:34:12"
15315403,2,39269492,Comment,281508,"2014-08-08 22:47:45"
13195413,2,71353288,BodyEdit,153339,"2014-08-13 04:30:09"
23615823,2,39433231,Comment,305973,"2014-08-14 05:51:52"
22960005,2,71609841,BodyEdit,978136,"2014-08-17 00:11:51"
25486003,2,72151264,InitialBody,3129572,"2014-08-25 12:30:47"
3238954,2,39830032,Comment,150016,"2014-08-26 20:02:58"
25486003,2,73222864,BodyEdit,298415,"2014-09-10 14:26:40"
25782577,2,73277076,InitialBody,3950982,"2014-09-11 08:22:25"
309448,2,73641241,BodyEdit,32453,"2014-09-16 19:53:48"
22960005,2,73741518,BodyEdit,978136,"2014-09-18 03:41:27"
309448,2,40808917,Comment,498522,"2014-09-25 23:34:21"
3238954,2,41028824,Comment,1368,"2014-10-02 21:14:25"
309718,2,41562519,Comment,1848553,"2014-10-20 08:56:36"
309448,2,41674719,Comment,170196,"2014-10-23 07:29:14"
24810414,2,76513474,BodyEdit,546016,"2014-10-29 09:49:41"
24810414,2,76513476,BodyEdit,2128327,"2014-10-29 09:49:41"
22960005,2,42056488,Comment,1520422,"2014-11-04 12:21:46"
22960005,2,42081499,Comment,1035897,"2014-11-05 02:00:43"
22960005,2,42505508,Comment,689161,"2014-11-18 03:37:30"
10505933,2,44546279,Comment,952135,"2015-01-22 08:33:58"
28311797,2,83003379,InitialBody,159679,"2015-02-04 01:12:25"
24810414,2,83070719,BodyEdit,3040627,"2015-02-04 19:35:34"
24810414,2,83070743,BodyEdit,3040627,"2015-02-04 19:35:59"
24810414,2,45028007,Comment,2128327,"2015-02-05 10:32:12"
24810414,2,83114386,BodyEdit,2128327,"2015-02-05 10:33:02"
24810414,2,45033996,Comment,660887,"2015-02-05 13:13:58"
24810414,2,83149023,BodyEdit,2128327,"2015-02-05 18:10:50"
24810414,2,84355191,BodyEdit,950427,"2015-02-22 23:05:31"
309718,2,84359521,BodyEdit,106104,"2015-02-23 01:19:40"
28750240,2,84677339,InitialBody,639687,"2015-02-26 18:39:53"
28750240,2,84678036,BodyEdit,639687,"2015-02-26 18:50:25"
309448,2,85696841,BodyEdit,32453,"2015-03-12 16:41:56"
5445161,2,46346332,Comment,622306,"2015-03-14 21:33:43"
309448,2,47441119,Comment,301832,"2015-04-15 12:49:55"
28750240,2,47612521,Comment,305973,"2015-04-20 05:12:05"
24810414,2,47612554,Comment,305973,"2015-04-20 05:13:21"
24104048,2,88574641,BodyEdit,980442,"2015-04-20 17:22:28"
24104048,2,88578722,BodyEdit,980442,"2015-04-20 18:17:10"
22960005,2,47935525,Comment,598520,"2015-04-27 21:39:42"
978162,2,48376840,Comment,980442,"2015-05-08 21:56:18"
3502497,2,92811956,BodyEdit,4533771,"2015-06-14 19:41:47"
309448,2,49874557,Comment,1301197,"2015-06-18 14:47:15"
31318764,2,94708335,InitialBody,603516,"2015-07-09 13:20:56"
3238954,2,50624878,Comment,603516,"2015-07-09 13:27:49"
31318764,2,94710450,BodyEdit,603516,"2015-07-09 13:41:38"
309718,2,95136438,BodyEdit,3278176,"2015-07-15 10:23:46"
31318764,2,95138700,BodyEdit,3278176,"2015-07-15 10:50:52"
24810414,2,95139746,BodyEdit,3278176,"2015-07-15 11:03:55"
9597413,2,51406711,Comment,694469,"2015-07-30 23:32:15"
350723,2,51485694,Comment,720030,"2015-08-02 23:55:45"
24810414,2,51895737,Comment,516433,"2015-08-13 18:30:51"
32351730,2,98753410,InitialBody,1684528,"2015-09-02 11:19:27"
32352386,2,98755968,InitialBody,4856258,"2015-09-02 11:50:45"
32351730,2,52577865,Comment,4856258,"2015-09-02 11:55:42"
32351730,2,52578642,Comment,1684528,"2015-09-02 12:14:38"
32352386,2,52614801,Comment,309259,"2015-09-03 09:22:12"
32352386,2,52614989,Comment,309259,"2015-09-03 09:27:23"
309448,2,52755851,Comment,2740621,"2015-09-07 21:23:03"
6938341,2,53246851,Comment,2694184,"2015-09-21 18:11:54"
24810414,2,53502383,Comment,2020820,"2015-09-28 23:25:19"
309448,2,53899973,Comment,1835650,"2015-10-09 13:32:25"
350723,2,53900048,Comment,1835650,"2015-10-09 13:34:00"
25103484,2,101499984,BodyEdit,2420519,"2015-10-10 04:37:29"
309448,2,54866828,Comment,2670370,"2015-11-05 11:33:21"
33748600,2,104275304,InitialBody,8200485,"2015-11-17 03:23:02"
309718,2,55268425,Comment,4100,"2015-11-17 06:12:29"
350723,2,105774306,BodyEdit,1240557,"2015-12-06 21:34:43"
14107694,2,56091618,Comment,244360,"2015-12-09 06:43:24"
14107694,2,56107489,Comment,671543,"2015-12-09 14:02:14"
5445161,2,106108210,BodyEdit,4464702,"2015-12-10 17:48:34"
6938341,2,106471838,BodyEdit,2924323,"2015-12-15 19:25:17"
22960005,2,106512897,BodyEdit,4186297,"2015-12-16 09:20:36"
13430647,2,106512985,BodyEdit,4186297,"2015-12-16 09:21:46"
11628754,2,106513120,BodyEdit,4186297,"2015-12-16 09:23:34"
16839350,2,106513220,BodyEdit,4186297,"2015-12-16 09:24:31"
21619906,2,106513386,BodyEdit,4186297,"2015-12-16 09:26:13"
5445161,2,56370221,Comment,1195028,"2015-12-16 14:16:18"
34451847,2,107088149,InitialBody,1063716,"2015-12-24 11:08:54"
5445161,2,56731382,Comment,1253136,"2015-12-28 14:06:23"
6938341,2,56946883,Comment,339736,"2016-01-04 22:01:14"
6938341,2,108094557,BodyEdit,836540,"2016-01-10 03:58:58"
350723,2,108396495,BodyEdit,34553,"2016-01-14 00:48:45"
5445161,2,57348832,Comment,43151,"2016-01-15 01:23:04"
6938341,2,57463957,Comment,337455,"2016-01-18 19:16:39"
34926427,2,108977500,InitialBody,4515400,"2016-01-21 14:28:38"
34926427,2,57590487,Comment,4856258,"2016-01-21 16:07:48"
34926427,2,57591772,Comment,4515400,"2016-01-21 16:37:21"
34926427,2,57626665,Comment,4856258,"2016-01-22 13:21:31"
34926427,2,57768380,Comment,4515400,"2016-01-26 18:17:49"
25486003,2,109521369,BodyEdit,2428802,"2016-01-28 15:25:02"
10505933,2,109522453,BodyEdit,2428802,"2016-01-28 15:37:48"
35066091,2,109523930,InitialBody,2428802,"2016-01-28 15:55:22"
10505933,2,109550632,BodyEdit,348189,"2016-01-28 22:06:10"
32352386,2,57960598,Comment,3554264,"2016-01-31 21:58:06"
13430647,2,57960667,Comment,3554264,"2016-01-31 22:01:32"
24104048,2,57960698,Comment,3554264,"2016-01-31 22:03:01"
15315403,2,57960741,Comment,3554264,"2016-01-31 22:05:02"
32351730,2,57960797,Comment,3554264,"2016-01-31 22:07:01"
13430647,2,109746679,BodyEdit,1506477,"2016-02-01 00:29:20"
13430647,2,109746816,BodyEdit,1506477,"2016-02-01 00:35:01"
32352386,2,57970772,Comment,4856258,"2016-02-01 07:54:46"
10505933,2,109798689,BodyEdit,348189,"2016-02-01 15:46:52"
32352386,2,58022941,Comment,3554264,"2016-02-02 11:36:42"
32352386,2,58024044,Comment,4856258,"2016-02-02 12:02:43"
32352386,2,58024198,Comment,3554264,"2016-02-02 12:06:40"
35446009,2,111025638,InitialBody,4318868,"2016-02-17 00:58:49"
35446009,2,58593369,Comment,4856258,"2016-02-17 04:28:13"
35446009,2,111051145,BodyEdit,4318868,"2016-02-17 09:28:59"
35446009,2,111052297,BodyEdit,4318868,"2016-02-17 09:41:52"
35446009,2,111073881,BodyEdit,4318868,"2016-02-17 13:53:14"
31318764,2,59021705,Comment,882209,"2016-02-27 15:01:40"
35705517,2,112053635,InitialBody,5735806,"2016-02-29 17:18:34"
35908771,2,112855043,InitialBody,1586864,"2016-03-10 06:01:50"
35908771,2,112855472,BodyEdit,1586864,"2016-03-10 06:09:39"
10505933,2,114078021,BodyEdit,348189,"2016-03-25 07:54:37"
309448,2,60140249,Comment,1364759,"2016-03-28 03:13:11"
35446009,2,60879807,Comment,2035262,"2016-04-15 09:17:34"
35446009,2,115990863,BodyEdit,4318868,"2016-04-18 14:02:30"
5445161,2,61063540,Comment,5047297,"2016-04-20 10:22:04"
309448,2,61070289,Comment,2311557,"2016-04-20 13:00:11"
35446009,2,61730284,Comment,1860517,"2016-05-07 20:20:38"
309448,2,118915656,BodyEdit,2976939,"2016-05-25 13:59:43"
37452030,2,118965303,InitialBody,625114,"2016-05-26 05:07:49"
38667387,2,123788668,InitialBody,285288,"2016-07-29 20:58:25"
37452030,2,124484763,BodyEdit,6083675,"2016-08-09 00:53:40"
38859690,2,124559174,InitialBody,2194364,"2016-08-09 20:18:26"
350723,2,65862530,Comment,3448985,"2016-09-01 05:52:45"
35446009,2,127399344,BodyEdit,1818089,"2016-09-19 08:31:47"
35446009,2,66849803,Comment,1064809,"2016-09-29 18:43:18"
309718,2,66926761,Comment,3042124,"2016-10-02 15:07:42"
35446009,2,67745587,Comment,2166900,"2016-10-25 13:50:58"
35446009,2,69258719,Comment,485180,"2016-12-07 19:29:18"
41541671,2,135531482,InitialBody,550742,"2017-01-09 05:42:54"
35446009,2,136348226,BodyEdit,546967,"2017-01-19 10:06:17"
41881604,2,136932776,InitialBody,378151,"2017-01-26 19:40:24"
16487716,2,70978697,Comment,2370932,"2017-01-27 16:06:07"
3502497,2,71699247,Comment,854672,"2017-02-16 10:42:23"
978162,2,72002537,Comment,207421,"2017-02-24 00:07:40"
11628754,2,72002577,Comment,207421,"2017-02-24 00:09:46"
16839350,2,72002582,Comment,207421,"2017-02-24 00:10:05"
13430647,2,139224978,BodyEdit,1506477,"2017-02-24 19:28:52"
7743991,2,72040932,Comment,4515489,"2017-02-24 21:29:51"
3238954,2,72260902,Comment,196834,"2017-03-02 18:45:42"
35446009,2,140437033,BodyEdit,441662,"2017-03-12 10:10:52"
978162,2,72843029,Comment,4515489,"2017-03-17 23:13:46"
